ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
274487493,1,40,0.5,45000,0.64,0,2.64,0,0.34,1,1,0,1,1,1,17,0.28,8
274882924,2,47,0.5,45000,0.64,0,2.64,0,0.34,0,0,1,1,1,0,9,0.28,7
274408962,3,68,0.5,45000,0.4,0,2.64,0,0.34,1,1,0,1,1,0,12,0.28,6
273383658,2,68,0.5,45000,0.4,0,2.64,0,0.34,1,1,0,0,1,0,17,0.28,6
274168722,2,58,0.5,45000,0.64,0,2.64,0,0.34,0,0,1,1,1,1,22,0.28,13
235427408,2,56,0.5,45000,0.4,1,2.64,0,0.34,1,0,1,0,1,0,12,0.28,8
272422803,2,40,0.5,48000,0.4,0,2.8,0,0.34,1,1,0,0,0,0,16,0.26,16
274260520,1,40,1.0,50000,0.4,0,2.64,0,0.34,0,1,0,0,1,1,12,0.5,2
274921160,1,38,0.5,50000,0.4,0,2.7,0,0.34,1,1,0,1,1,1,17,0.28,8
274593457,2,52,0.5,50000,0.4,0,2.64,0,0.34,1,0,1,1,1,1,17,0.28,7
273335666,3,64,0.5,50000,0.4,0,2.7,0,0.34,0,1,0,1,1,1,9,0.28,4
273954955,3,78,0.5,50000,0.64,0,2.64,1,0.34,1,0,1,1,1,1,17,0.28,1
273319501,2,48,0.5,50000,0.4,0,2.64,0,0.34,1,0,1,0,1,0,9,0.28,2
274967330,3,78,0.5,50000,0.64,1,2.7,0,0.34,0,1,0,1,1,1,22,0.28,3
272687206,3,60,0.5,50000,0.4,0,2.64,0,0.34,0,1,0,0,0,0,12,0.41,1
274526643,2,62,0.5,50000,0.64,0,2.64,0,0.34,1,0,1,1,1,1,17,0.28,4
274603123,2,53,0.5,50000,0.64,0,2.64,0,0.34,1,1,0,1,1,0,12,0.28,8
274553645,2,60,0.5,50000,0.64,0,2.64,0,0.34,0,0,1,1,1,1,22,0.5,9
265023311,2,69,0.5,50000,0.64,1,2.64,0,0.34,0,0,1,0,1,0,12,0.5,6
274832436,2,62,0.5,52000,0.64,1,2.64,0,0.34,1,0,1,1,1,1,17,0.28,12
274486524,2,54,0.5,55000,0.64,0,2.64,0,0.34,1,0,1,1,1,1,17,0.28,12
263864468,2,32,0.5,55000,1.0,0,2.64,0,0.48,1,1,0,1,1,1,17,0.28,3
273141952,3,72,0.5,60000,0.4,1,2.64,0,0.34,1,1,0,0,1,1,17,0.28,11
274711878,2,50,0.5,60000,0.4,1,2.5,0,0.34,1,0,1,0,1,0,12,0.28,9
272805795,3,62,0.5,60000,0.4,0,2.7,0,0.34,1,0,1,1,1,0,9,0.28,6
274506034,3,82,0.5,60000,0.4,0,2.7,0,0.34,0,0,1,0,0,0,14,0.28,2
274095021,3,80,0.5,60000,0.64,1,2.64,0,0.34,0,1,0,1,1,0,22,0.5,16
273947329,2,63,0.65,60000,0.64,0,2.74,1,0.34,1,0,1,1,1,1,17,0.28,6
274163105,3,70,0.5,60000,1.0,0,2.48,0,0.34,1,1,0,1,1,1,16,0.28,1
274477333,2,60,0.5,60000,0.64,1,2.64,0,0.34,1,1,0,1,1,0,17,0.28,15
264951536,2,70,0.5,61500,1.0,0,2.64,0,0.34,0,1,0,0,1,0,19,0.5,8
273594086,2,51,0.5,65000,0.4,0,2.64,0,0.34,1,1,0,0,0,0,17,0.28,9
225734337,2,68,0.5,65000,1.0,0,2.64,1,0.48,0,1,1,0,1,0,18,0.5,13
272866986,3,82,0.5,65000,0.64,0,2.64,1,0.34,1,0,1,1,1,0,22,0.28,12
267515593,3,81,0.5,65000,0.64,1,2.64,0,0.34,1,1,0,0,1,1,22,0.28,3
274516234,3,74,0.65,70000,0.64,0,2.64,0,0.34,1,0,1,1,1,1,17,0.28,8
